occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID,eventID
MEAS_UM-15_black sea bass_51,weight (recorded),100,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_51,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_51,weight,100,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-15_black sea bass_51,retained,N,,,
MEAS_UM-12_black sea bass_52,total length,213,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_52,weight (recorded),75,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_52,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_52,weight,75,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_52,retained,Y,,,
MEAS_UM-12_black sea bass_53,total length,195,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_53,weight (recorded),115,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_53,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_53,weight,115,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_53,retained,Y,,,
MEAS_UM-12_black sea bass_54,total length,197,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_54,weight (recorded),115,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_54,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_54,weight,115,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_54,retained,Y,,,
MEAS_UM-12_black sea bass_55,total length,226,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_55,weight (recorded),160,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_55,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_55,weight,160,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_55,retained,Y,,,
MEAS_UM-12_black sea bass_56,total length,190,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_56,weight (recorded),120,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_56,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_56,weight,120,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_56,retained,Y,,,
MEAS_UM-12_black sea bass_57,total length,198,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_57,weight (recorded),135,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_57,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_57,weight,135,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_57,retained,N,,,
MEAS_UM-12_black sea bass_58,total length,220,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_58,weight (recorded),200,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_58,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_58,weight,200,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_58,retained,N,,,
MEAS_UM-12_black sea bass_59,total length,395,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_59,weight (recorded),665,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_59,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_59,weight,665,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_59,retained,Y,,,
MEAS_UM-12_black sea bass_60,total length,327,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_60,weight (recorded),465,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_60,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_60,weight,465,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_60,retained,Y,,,
MEAS_UM-12_black sea bass_61,total length,254,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_61,weight (recorded),210,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_61,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_61,weight,210,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_61,retained,Y,,,
MEAS_UM-12_black sea bass_62,total length,195,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_62,weight (recorded),110,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_62,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_62,weight,110,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_62,retained,Y,,,
MEAS_UM-12_black sea bass_63,total length,175,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_63,weight (recorded),125,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_63,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_63,weight,125,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_63,retained,Y,,,
MEAS_UM-12_black sea bass_64,total length,203,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_64,weight (recorded),200,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_64,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_64,weight,200,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_64,retained,N,,,
